fire_station_name,출동건수_2020,출동건수_2021,출동거리_2020,출동거리_2021,change_ratio
119특수구조단,232,197,29.879310344827587,29.66751269035533,84.91379310344827
강남소방서,24472,29414,2.460718372016999,3.2314748079145987,120.19450800915332
강동소방서,19061,22174,2.342295787209485,2.7921890502390188,116.331776926709
강북소방서,16363,19819,1.8386787263949154,2.324824663201978,121.1208213652753
강서소방서,21608,24795,2.1612458348759715,2.717475297439,114.74916697519437
관악소방서,21204,24025,2.176245048104131,2.559771071800208,113.30409356725146
광진소방서,12933,15586,1.957009201268074,2.8945912998845116,120.5134152942086
구로소방서,31713,35837,2.00961750701605,2.517027094901917,113.00413079809542
노원소방서,22020,23108,1.9550953678474112,2.5765102994633895,104.94096276112626
도봉소방서,14367,16586,1.9941950302777196,2.8926082238032076,115.44511728266164
동대문소방서,18237,19939,1.7829577233097549,2.3533326646271124,109.33267533037233
동작소방서,12835,13589,2.6869185820023374,3.193663992935462,105.8745617452279
마포소방서,21622,25438,1.9187910461566922,2.695443824200016,117.6486911479049
서대문소방서,15016,17729,2.1214038359083642,2.606644480794179,118.06739477890251
서초소방서,19099,22634,2.62712183883973,3.564955376866661,118.50882245143725
성동소방서,13165,14552,1.9495632358526396,3.007036833424959,110.53551082415495
성북소방서,16737,18412,1.98732747804266,2.676537041060178,110.00776722232179
송파소방서,23896,26671,2.507436391027787,2.9253308837313936,111.61282222966187
양천소방서,19798,23065,2.2424588342256793,2.9587340125731627,116.50166683503384
영등포소방서,21392,25744,2.007666417352281,2.456580174021131,120.34405385190725
용산소방서,12225,13842,2.2811288343558282,3.3675697153590525,113.22699386503068
은평소방서,18233,20701,2.0575604672845937,2.8153857301579635,113.53589645148905
종로소방서,14149,15835,2.0786840059368155,3.192472371329334,111.9160364690084
중랑소방서,18289,18715,1.790967248072612,2.5092866684477695,102.32926895948384
중부소방서,12603,14076,1.8111005316194557,2.5734086388178463,111.68769340633182
